,id,label,if1,if2,if3,if4,if5,if6,if7,if8,if9,if10,if11,if12,if13,cf1,cf2,cf3,cf4,cf5,cf6,cf7,cf8,cf9,cf10,cf11,cf12,cf13,cf14,cf15,cf16,cf17,cf18,cf19,cf20,cf21,cf22,cf23,cf24,cf25,cf26,day_number
0,0,0,,600.0,1.0,342.0,9.0,0.0,0.0,18,1,0.0,4.0,27648.0,1.0,ad09fe24,e248b509,2da5ea34,e6b5b2ee,2e776fbd,6fcd6dcb,fa9fb1ff,dc8dd8a1,e0d906cb,b8fdbf59,75211e8d,12716184,f4fc3c5e,,62c3431f,,,b8170bba,9512c20b,9b6712fa,e611fb63,27fc20dc,,201d7147,57e36578,b757e957,day_0
1,2,0,3.0,239.0,3.0,,8.0,0.0,0.0,139,0,0.0,2.0,27.0,3.0,ad98e872,cea68cd3,3b66b2e0,f2463ffb,0a0044e1,6fcd6dcb,2731dac5,c0375b13,2e4e821f,62da11e3,14874876,8a01b158,a77a4a56,be4ee537,fdc9e405,4cdc3efa,d20856aa,b8170bba,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,10c76e2c,30436bfc,e1be5ef2,day_0
2,4,0,3.0,124.0,39.0,398.0,3.0,0.0,0.0,1,40,0.0,1.0,21612.0,39.0,265366bf,6f5c7c41,6c8206cd,6521d620,be74ba14,6fcd6dcb,e14728f7,ab96c6b2,2e4e821f,e63d98b4,c939136f,bd549f0f,bf78d0d4,,3b972bfb,,,a1eb1511,9512c20b,47849e55,73b3f46d,d994ba60,,d3d5ac76,ff654802,b757e957,day_0
3,6,0,12.0,85.0,4.0,59.0,6.0,0.0,0.0,7,1,0.0,2.0,5878.0,4.0,ad98e872,3dbb483e,9a898c89,67ecc871,1315f676,6fcd6dcb,0e005bd7,54cd7262,2e4e821f,62da11e3,14874876,11a67268,a77a4a56,be4ee537,a63cedcf,4cdc3efa,d20856aa,b8170bba,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,893704a5,ff654802,e1be5ef2,day_0
4,8,0,,2.0,,,,,,-1,0,,,6042.0,,8ee97e24,edd9cefc,8cf5944d,67ecc871,46e15074,6fcd6dcb,f80385eb,fae7b071,25dd8f9a,acf26a26,38a9b7e4,12716184,e07cc34d,,f600f034,,,b8170bba,9512c20b,c07b84a7,323fe50a,504569ef,,1aa62c4a,0b3c06d0,2ccea557,day_0
5,10,0,60.0,262.0,5.0,,6.0,0.0,0.0,67,0,0.0,1.0,8513.0,9.0,ad98e872,cea68cd3,afea442f,f2463ffb,664ff944,6fcd6dcb,3580aa21,c0375b13,2e4e821f,62da11e3,14874876,95981d1f,a77a4a56,be4ee537,fdc9e405,4cdc3efa,d20856aa,7232d217,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,7caf609c,30436bfc,e1be5ef2,day_0
6,12,0,228.0,2182.0,12.0,,15.0,0.0,0.0,34,21,0.0,8.0,574.0,158.0,ad98e872,cea68cd3,36de22be,6faef306,1315f676,6fcd6dcb,23f394eb,c0375b13,2e4e821f,62da11e3,14874876,a47be85a,d49eb1df,be4ee537,fdc9e405,4cdc3efa,d20856aa,a1eb1511,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,e633528b,30436bfc,e1be5ef2,day_0
7,14,0,1.0,736.0,0.0,273.0,18.0,0.0,0.0,21,10,0.0,6.0,4263.0,10.0,788a5d5b,0f636fe1,93e42a93,6faef306,c6fc10d3,6fcd6dcb,2d19a3da,cd5745bc,2e4e821f,16ec16d6,fa478aa9,11b53668,a77a4a56,,1748f7cb,,,b8170bba,9512c20b,ef426d46,0683bc6f,6e86ac23,,2fb4a3d0,30436bfc,b757e957,day_0
8,16,0,4.0,,2.0,,,0.0,0.0,1,2,0.0,,7.0,2.0,788a5d5b,0f636fe1,0078b677,dfe0b238,792f3741,6fcd6dcb,42fbc26c,cd5745bc,2e4e821f,16ec16d6,fa478aa9,12716184,e07cc34d,,1748f7cb,,,a1eb1511,9512c20b,ef426d46,0683bc6f,6e86ac23,,b603601c,30436bfc,b757e957,day_0
9,18,0,1.0,19.0,,,,0.0,0.0,169,6,0.0,,18643.0,,93784de6,32c957a2,bd994cad,f2463ffb,7ef5bf25,6fcd6dcb,71e12aec,9fe3060b,2e4e821f,a4354c95,a78c2776,12716184,e07cc34d,be4ee537,b4ede6e4,4cdc3efa,753da5f3,3c328ca5,9512c20b,8fba8671,98b47a15,1e7af622,533dc96d,c1bd1d6f,991321ea,2ccea557,day_0
10,20,0,,346.0,1.0,335.0,2.0,0.0,0.0,4,7,0.0,1.0,28644.0,1.0,788a5d5b,0f636fe1,3cee6ba8,f2463ffb,664ff944,919c68e4,4628641f,cd5745bc,7cee8453,16ec16d6,fa478aa9,df708b29,a77a4a56,,1748f7cb,,,628f1b8d,9512c20b,ef426d46,0683bc6f,6e86ac23,,7cc1f2ce,30436bfc,b757e957,day_0
11,22,0,18.0,152.0,7.0,,4.0,0.0,0.0,100,36,0.0,2.0,1710.0,15.0,ad98e872,cea68cd3,f2485bfb,386c49ee,f2069730,6fcd6dcb,b6db430e,c0375b13,2e4e821f,62da11e3,14874876,4db77c3a,f4fc3c5e,be4ee537,fdc9e405,4cdc3efa,d20856aa,cd48bfa2,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,f4a36b2d,30436bfc,e1be5ef2,day_0
12,24,0,12.0,118.0,12.0,21.0,37.0,0.0,0.0,1,14,0.0,10.0,6914.0,12.0,265366bf,59e6bfe3,fe54dcfd,b0c5e548,513057af,6fcd6dcb,d935d694,d4612c5c,25dd8f9a,e63d98b4,c939136f,1ab7a1bf,f4fc3c5e,,1de734ba,,,b6bc86c5,9512c20b,47849e55,73b3f46d,d994ba60,,118885ac,321935cd,b757e957,day_0
13,26,0,2.0,577.0,2.0,9.0,,1.0,0.0,3,2,1.0,,707.0,2.0,265366bf,b1feb7c7,e0c6ad73,b17e4793,729e35ab,6fcd6dcb,d3d7aec0,ab96c6b2,7cee8453,e63d98b4,c939136f,71fd8dc8,00c5ffb7,,5cbc7f6a,,,b8170bba,108a0699,47849e55,73b3f46d,d994ba60,,9f4e19ae,ff654802,2ba8d787,day_0
14,28,0,5.0,70.0,3.0,,16.0,0.0,0.0,48,0,0.0,2.0,2921.0,3.0,ad98e872,cea68cd3,097a2772,67ecc871,1315f676,6fcd6dcb,3dc0be16,c0375b13,2e4e821f,62da11e3,14874876,fdea232f,f4fc3c5e,be4ee537,fdc9e405,4cdc3efa,d20856aa,b8170bba,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,fd4b5ef6,30436bfc,e1be5ef2,day_0
15,30,0,2.0,59.0,,38.0,6.0,0.0,0.0,1,1,0.0,1.0,18635.0,,4f50727e,a22d2d86,e1b84b89,f2463ffb,4ff7b61d,6fcd6dcb,d4e50aac,bcef0e77,2e4e821f,bfcab6f1,fa478aa9,3e430034,a77a4a56,,3d62d999,,,b8170bba,9512c20b,88bd2b10,0683bc6f,167e3434,,e9e246e4,30436bfc,b757e957,day_0
16,32,0,,810.0,3.0,,,0.0,0.0,21,3,0.0,,570267.0,3.0,265366bf,fb7ae7da,471b4db9,941fda9d,93a8e002,919c68e4,24017451,ab96c6b2,2e4e821f,e63d98b4,c939136f,36475bf7,00c5ffb7,,5cbc7f6a,,,b8170bba,108a0699,47849e55,73b3f46d,d994ba60,,2a357f68,ff654802,2ba8d787,day_0
17,34,0,,167.0,,143.0,2.0,0.0,0.0,-1,2,0.0,1.0,17843.0,,ad98e872,ac4c5591,a5ddf331,f2463ffb,044f0055,6fcd6dcb,d296a01b,73f9dacc,2e4e821f,62da11e3,14874876,6611d640,a77a4a56,be4ee537,c76f0d8a,4cdc3efa,d20856aa,a1eb1511,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,ffce4990,30436bfc,e1be5ef2,day_0
18,36,0,,351.0,25.0,,,0.0,0.0,2,25,0.0,,4224.0,25.0,788a5d5b,0f636fe1,42d1da9d,f2463ffb,f35ef4ab,6fcd6dcb,384eddfe,cd5745bc,2e4e821f,16ec16d6,fa478aa9,a9f13887,405ca118,,1748f7cb,,,b8170bba,9512c20b,ef426d46,0683bc6f,6e86ac23,,f5f35db0,30436bfc,b757e957,day_0
19,38,0,,39.0,,24.0,1.0,0.0,0.0,-1,4,0.0,1.0,6880.0,,62770d79,f7ef23df,2eb0c223,d9a8ea57,664ff944,6fcd6dcb,75dea151,cc7eba39,2e4e821f,2e027dc1,0c7c4231,bb8fd8e1,00c5ffb7,be4ee537,daa2cf18,4cdc3efa,d20856aa,b8170bba,9512c20b,c38e2f28,14f65a5d,25b1b089,d7c1fc0b,09416e2b,30436bfc,ed10571d,day_0
20,40,0,,43.0,1.0,1.0,20.0,5.0,0.0,1,3,2.0,7.0,279.0,1.0,7e96b695,79c89df5,0df54201,01946bd1,c6fc10d3,6fcd6dcb,f97d6368,53b0219d,96bbb470,5407655d,38a9b7e4,99728995,a77a4a56,be4ee537,c4c45ede,4cdc3efa,753da5f3,7232d217,9512c20b,58cf2652,f9a1d79a,16ffda1a,c9c889fd,d336d688,8310666b,b757e957,day_0
21,42,0,18.0,472.0,6.0,,16.0,0.0,0.0,173,1,0.0,5.0,1.0,6.0,ad98e872,cea68cd3,417e6103,bdd5d27b,53eaeb72,6fcd6dcb,4628641f,c0375b13,a48e16ed,62da11e3,14874876,789eb472,a77a4a56,be4ee537,fdc9e405,4cdc3efa,d20856aa,a1eb1511,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,7cc1f2ce,991321ea,e1be5ef2,day_0
22,44,0,1.0,,0.0,,,0.0,0.0,2,1,0.0,,53.0,1.0,788a5d5b,0f636fe1,01a0c607,f2463ffb,9ab86d62,6fcd6dcb,a7fad249,cd5745bc,2e4e821f,16ec16d6,fa478aa9,12716184,e07cc34d,,1748f7cb,,,b8170bba,9512c20b,ef426d46,0683bc6f,6e86ac23,,16e6b497,30436bfc,b757e957,day_0
23,46,0,,212.0,,,,0.0,0.0,6,12,0.0,,1586.0,,4f50727e,0f636fe1,2e8b2631,bdd5d27b,a53c8a84,6fcd6dcb,16e08b25,cd5745bc,2e4e821f,bfcab6f1,fa478aa9,2974d88b,00c5ffb7,,1748f7cb,,,628f1b8d,9512c20b,88bd2b10,0683bc6f,167e3434,,1652193e,30436bfc,b757e957,day_0
24,48,0,,172.0,,235.0,,0.0,0.0,-1,0,0.0,,24926.0,,fdc5c8e5,c0c61146,09cfe744,941fda9d,f1031577,6fcd6dcb,beecc383,a2148c33,54a003de,74a64e1a,99b256c8,129da4b5,a77a4a56,,5f8f2527,,,a1eb1511,9512c20b,81cd8bfe,d2631167,d11bc6b7,,641cdf7e,30436bfc,b757e957,day_0
25,50,0,,1649.0,,,,0.0,0.0,-1,11,0.0,,35436.0,,e88bc44e,f041fddf,05adb560,f2463ffb,664ff944,6fcd6dcb,8ed157af,1e00a819,25dd8f9a,98fb8358,8ffb439a,12716184,e07cc34d,,7aa51c85,,,628f1b8d,0a1d513f,3741a298,0b682a93,21d89888,,b01029ca,321935cd,b757e957,day_0
26,52,0,26.0,691.0,1.0,,28.0,0.0,0.0,14,1,0.0,4.0,14165.0,1.0,92b4d73a,9ef3c458,b101c817,57a2c300,1315f676,6fcd6dcb,3e309dcb,038e402d,2e4e821f,e975ad9d,41223608,f8877aef,26bb0b02,,935ba1f5,,,b8170bba,09c8c22c,dceee7f5,d756ce45,f106f74d,,4bdd01bb,ff654802,ed10571d,day_0
27,54,0,1.0,,13.0,,,0.0,3.0,0,15,0.0,,30.0,4.0,788a5d5b,0f636fe1,f0bee090,6faef306,c6fc10d3,6fcd6dcb,d89e20bc,cd5745bc,2e4e821f,16ec16d6,fa478aa9,ca7bae88,d49eb1df,,1748f7cb,,,b8170bba,9512c20b,ef426d46,0683bc6f,6e86ac23,,06cd2d54,30436bfc,b757e957,day_0
28,56,0,,22.0,,2.0,20.0,,0.0,-1,0,,6.0,13249.0,,76c16bc0,072c1793,90d59266,6faef306,4512d873,6fcd6dcb,c613116b,670da99c,2e4e821f,548f6521,83fd36b9,69774a9d,f4fc3c5e,521d9fcb,72a000a7,330c9d3e,d20856aa,3c328ca5,9512c20b,c8c79f80,ed5a7d34,603ba0f0,e0c431d3,e8a7e055,30436bfc,b757e957,day_0
29,58,0,3.0,709.0,2.0,281.0,,0.0,0.0,4,47,0.0,,1628.0,2.0,62770d79,f7794e81,21b9374b,6faef306,c6fc10d3,6fcd6dcb,9550b898,231d1ac4,e25a4c11,2e027dc1,0c7c4231,53f0329e,d49eb1df,be4ee537,a5932f8e,4cdc3efa,d20856aa,497f5e8a,9512c20b,c38e2f28,14f65a5d,25b1b089,d7c1fc0b,0a2650f1,30436bfc,ed10571d,day_0
30,60,0,,1602.0,1.0,22.0,27.0,0.0,0.0,6,1,0.0,8.0,3778.0,1.0,265366bf,8d262a76,9a4bac07,f7f54f97,1315f676,6fcd6dcb,412af191,ab96c6b2,2e4e821f,e63d98b4,c939136f,bc641f57,f4fc3c5e,,3df02de5,,,d9f758ff,108a0699,47849e55,73b3f46d,d994ba60,,7e3d6fbd,30436bfc,2ba8d787,day_0
31,62,0,3.0,402.0,10.0,,,0.0,0.0,0,11,0.0,,3055.0,10.0,9a8d913c,65a07d43,e137fcfe,c6f42255,48b2ec11,6fcd6dcb,7b625de7,75893ae5,2e4e821f,261b77a2,c761c951,12716184,e07cc34d,,b9df7508,,,b8170bba,9512c20b,8e92db15,96f7a5fd,da9e6b02,,091e01e6,30436bfc,b757e957,day_0
32,64,0,6.0,1448.0,,,2.0,0.0,0.0,18,0,0.0,1.0,36262.0,,ad98e872,cea68cd3,fecf43fe,6521d620,4ff7b61d,6fcd6dcb,3960af58,c0375b13,2e4e821f,62da11e3,14874876,3b93987e,00c5ffb7,be4ee537,fdc9e405,4cdc3efa,d20856aa,b8170bba,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,b91c214f,991321ea,e1be5ef2,day_0
33,66,0,,1037.0,4.0,3.0,8.0,1.0,0.0,24,22,1.0,1.0,44.0,3.0,51f603a7,8a6d1087,edf055c1,db2e754e,c6fc10d3,6fcd6dcb,467416e2,283c92c0,2e4e821f,9a20e1e4,750506a2,3a9a94f6,f4fc3c5e,be4ee537,fcd8d20f,4cdc3efa,d20856aa,b8170bba,55191c09,ca16d802,9b9624e4,a747e7f8,bada667f,e72fb94b,30436bfc,97ba7709,day_0
34,68,0,1.0,2.0,,34.0,7.0,0.0,0.0,1,6,0.0,1.0,1869.0,,3fc39ef5,9a2219a1,17debbff,bdd5d27b,a53c8a84,6fcd6dcb,2d979239,c3bae430,2e4e821f,04e2a6d1,e3fec4d8,88ad7ab4,a77a4a56,,cb997d27,,,628f1b8d,9512c20b,957a9ae2,d602490a,5578cff2,,d9e01505,ff654802,b757e957,day_0
35,70,0,1.0,718.0,4.0,133.0,16.0,0.0,0.0,0,7,0.0,5.0,3204.0,4.0,024b8e23,453d5930,086cebf2,f2463ffb,c6fc10d3,6fcd6dcb,800cb3e5,bea438cc,2e4e821f,634ebed3,6f8546a7,a076e654,26bb0b02,,e176547d,,,b7771e51,9512c20b,bf447564,f86465ea,81d110e0,,cd2ce004,30436bfc,962813c6,day_0
36,72,0,1.0,,4.0,,,0.0,0.0,0,28,0.0,,2075.0,4.0,217db914,0c7ff8fc,3f73a18e,67ecc871,b13d7057,6fcd6dcb,9a6b2653,96f12753,2e4e821f,4856915e,fa478aa9,190b325e,405ca118,,8403cf0a,,,7232d217,9512c20b,fa8936bb,d1483891,5621aedb,,d74b023e,30436bfc,b757e957,day_0
37,74,0,68.0,19.0,33.0,,1.0,0.0,0.0,36,0,0.0,1.0,2888.0,34.0,ad98e872,cea68cd3,fcd12c52,6521d620,71b2bb8e,6fcd6dcb,3a60caf2,c0375b13,2e4e821f,62da11e3,14874876,e5d95ec2,00c5ffb7,be4ee537,fdc9e405,4cdc3efa,d20856aa,b8170bba,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,6864f141,30436bfc,e1be5ef2,day_0
38,76,0,,350.0,,115.0,1.0,0.0,0.0,24,22,0.0,1.0,9699.0,,7b0879b8,df58c628,e30050dd,3f85ecae,1315f676,6fcd6dcb,dbf453f7,9e10c7bd,25dd8f9a,10802c08,6e49812f,1823663a,a77a4a56,,3d3455d1,,,3c328ca5,9512c20b,1f8d1992,85a8f883,3915f8c8,,6ed14f97,321935cd,6c730e3e,day_0
39,78,0,1.0,21.0,1.0,,,0.0,0.0,2,2,0.0,,8.0,1.0,9ea3e935,0f636fe1,01a0c607,6faef306,f384a33f,6fcd6dcb,a7fad249,cd5745bc,2e4e821f,aa7bcd4a,fa478aa9,12716184,e07cc34d,,1748f7cb,,,c013b6d8,9512c20b,89d6cfe7,05e8acca,0bd9bf66,,16e6b497,30436bfc,b757e957,day_0
40,80,0,,174.0,,,,,0.0,-1,0,,,43773.0,,e88bc44e,07f741b3,603d715d,a50ce64c,0ca2ff5e,6fcd6dcb,6bc7fbae,1e00a819,25dd8f9a,98fb8358,8ffb439a,89be4828,a77a4a56,,f3d23366,,,7232d217,9512c20b,3741a298,0b682a93,21d89888,,81bb306d,321935cd,6c730e3e,day_0
41,82,0,3.0,328.0,,,,,,4,0,,,54892.0,,ad98e872,ac4c5591,d9fc2697,f2463ffb,4a421ddc,919c68e4,d826b01c,73f9dacc,2e4e821f,62da11e3,14874876,0c552bb6,00c5ffb7,be4ee537,c76f0d8a,4cdc3efa,d20856aa,b8170bba,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,9a174000,30436bfc,e1be5ef2,day_0
42,84,0,12.0,117.0,4.0,274.0,,0.0,0.0,130,5,0.0,,86427.0,4.0,674284da,710103fd,df639cec,f2463ffb,fcd95698,919c68e4,79412a72,09f8a09d,54fc547f,a0209988,f8f56900,272bf915,a77a4a56,e27ffa69,2b083b96,10dd3744,753da5f3,7232d217,9512c20b,3e293f63,ce0fd3b4,3945af71,0188f129,33cc0526,337b81aa,b757e957,day_0
43,86,0,,260.0,1.0,235.0,1.0,0.0,0.0,2,15,0.0,1.0,38995.0,1.0,788a5d5b,0f636fe1,3eafa839,f2463ffb,6ffb14ab,6fcd6dcb,79ce94ae,cd5745bc,2e4e821f,16ec16d6,fa478aa9,081e2f00,00c5ffb7,,1748f7cb,,,7232d217,9512c20b,ef426d46,0683bc6f,6e86ac23,,bbb16e1c,30436bfc,b757e957,day_0
44,88,0,7.0,328.0,,10006.0,,0.0,0.0,1522,0,0.0,,87786.0,,265366bf,0b2eef66,471b4db9,6faef306,c6fc10d3,919c68e4,24017451,ab96c6b2,2e4e821f,e63d98b4,c939136f,12716184,00c5ffb7,,eff53493,,,b8170bba,108a0699,47849e55,73b3f46d,d994ba60,,2a357f68,ff654802,2ba8d787,day_0
45,90,1,91.0,191.0,10.0,,2.0,0.0,0.0,13,10,0.0,1.0,17172.0,10.0,d4bcd263,ca034076,417e6103,386c49ee,656c7748,6fcd6dcb,4628641f,28808903,2e4e821f,64a24987,30495534,fcb3bf7e,f4fc3c5e,be4ee537,8777820a,4cdc3efa,d20856aa,d9f758ff,9512c20b,708f790d,e54fc1bc,ca3fba16,d7c1fc0b,564b3e68,30436bfc,2ccea557,day_0
46,92,0,3.0,1.0,2.0,,4.0,0.0,0.0,56,6,0.0,1.0,2671.0,2.0,e5f3fd8d,6d828ddf,9a898c89,f2463ffb,2af8de44,6fcd6dcb,0e005bd7,43426c29,e25a4c11,7de9c0a9,6652dc64,2f31cce0,a77a4a56,be4ee537,8475d725,4cdc3efa,d20856aa,47ceab06,9512c20b,febfd863,a3323ca1,c8e1ee56,c1c4bc4a,893704a5,cdc3217e,ed10571d,day_0
47,94,0,7.0,217.0,5.0,61.0,1.0,0.0,0.0,34,5,0.0,1.0,5724.0,5.0,d4bcd263,63f113c2,ba1c0f43,a4d19bf4,729e35ab,6fcd6dcb,6ca001e8,28808903,2e4e821f,64a24987,30495534,12716184,00c5ffb7,be4ee537,8777820a,4cdc3efa,d20856aa,d9f758ff,0a1d513f,708f790d,e54fc1bc,ca3fba16,d7c1fc0b,f9bf6269,ff654802,b757e957,day_0
48,96,0,,1160.0,1.0,,93.0,0.0,0.0,2,12,0.0,4.0,14217.0,1.0,788a5d5b,0f636fe1,f19df729,f2463ffb,92780860,6fcd6dcb,b6db430e,cd5745bc,1df5e154,16ec16d6,fa478aa9,9aa263a3,a77a4a56,,1748f7cb,,,b8170bba,9512c20b,ef426d46,0683bc6f,6e86ac23,,5dea4c3e,30436bfc,b757e957,day_0
49,98,0,1.0,138.0,2.0,,,0.0,0.0,4,2,0.0,,,2.0,788a5d5b,98e2c109,aea111b5,72e99bed,93a8e002,6fcd6dcb,669c1472,a66a02fa,1df5e154,16ec16d6,fa478aa9,12716184,6397311a,,ded4997d,,,b7771e51,0a1d513f,ef426d46,0683bc6f,6e86ac23,,7cefe276,30436bfc,b757e957,day_0
