,id,label,if1,if2,if3,if4,if5,if6,if7,if8,if9,if10,if11,if12,if13,cf1,cf2,cf3,cf4,cf5,cf6,cf7,cf8,cf9,cf10,cf11,cf12,cf13,cf14,cf15,cf16,cf17,cf18,cf19,cf20,cf21,cf22,cf23,cf24,cf25,cf26,day_number
50,100,0,3.0,71.0,1.0,9.0,,3.0,0.0,4,5,1.0,,442.0,1.0,25088b51,c85b5fef,a8bba174,b0c5e548,ccca461f,6fcd6dcb,2bcd7a1f,b2ffe8b3,e25a4c11,a71321f3,4ecbf116,12716184,bf78d0d4,,8848999f,,,a1eb1511,9512c20b,552b77df,4ce1bd15,782e1133,,e2762c15,30436bfc,b757e957,day_0
51,102,0,1.0,51.0,2.0,,,0.0,0.0,1,22,0.0,,21870.0,2.0,b2d27a4e,3fa554c6,0ccd2ee8,f2463ffb,1315f676,6fcd6dcb,0cb9b3e1,ec70a584,a48e16ed,7d460bd9,fa478aa9,12716184,a77a4a56,,1db5813f,,,b8170bba,0a1d513f,8b800a58,0683bc6f,1600d91a,,cb957e95,991321ea,b757e957,day_0
52,104,0,7.0,385.0,6.0,,110.0,0.0,0.0,100,0,0.0,29.0,4240.0,6.0,ad98e872,cea68cd3,417e6103,f2463ffb,c6fc10d3,6fcd6dcb,4628641f,c0375b13,7cee8453,62da11e3,14874876,3f2f4804,26bb0b02,be4ee537,fdc9e405,4cdc3efa,d20856aa,a1eb1511,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,7cc1f2ce,ff654802,e1be5ef2,day_0
53,106,0,4.0,,,21.0,,1.0,0.0,14,0,0.0,,1386.0,,ad98e872,2fe16076,935e1ccf,80b7260b,f9814609,6fcd6dcb,9b8489a6,379a9be1,7cee8453,62da11e3,14874876,12716184,bf78d0d4,be4ee537,eed95a39,4cdc3efa,d20856aa,b8170bba,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,66aa14c5,30436bfc,e1be5ef2,day_0
54,108,0,,104.0,,34.0,29.0,0.0,0.0,446,22,0.0,9.0,2669.0,,265366bf,48a4566d,a73b2445,f2463ffb,729e35ab,6fcd6dcb,47168745,ab96c6b2,25dd8f9a,e63d98b4,c939136f,ffd084e7,a77a4a56,,dd7f4897,,,b8170bba,108a0699,47849e55,73b3f46d,d994ba60,,5f519366,321935cd,2ba8d787,day_0
55,110,0,8.0,209.0,13.0,100.0,5.0,0.0,0.0,1,21,0.0,3.0,6747.0,17.0,265366bf,92946dba,c03b20fc,67ecc871,c6fc10d3,6fcd6dcb,fec02b03,ab96c6b2,2e4e821f,e63d98b4,c939136f,85a35b30,a77a4a56,,26fc4ce5,,,b8170bba,9512c20b,47849e55,73b3f46d,d994ba60,,5b2af182,ff654802,b757e957,day_0
56,112,0,15.0,196.0,5.0,,,0.0,0.0,1,4,0.0,,1244.0,5.0,e14c3bb3,bff9958d,59cbd690,0f808936,1315f676,6fcd6dcb,c1df7fa8,231d1ac4,2e4e821f,716932c9,b39ea909,a32a4a2a,bf78d0d4,be4ee537,6dff3beb,4cdc3efa,d20856aa,b8170bba,9512c20b,57aab325,1a4b899b,c227f500,d7c1fc0b,f20b6974,ff654802,b757e957,day_0
57,114,0,40.0,504.0,20.0,53.0,12.0,1.0,0.0,25,9,0.0,7.0,1199.0,22.0,ad98e872,3dbb483e,b8a0b757,f2463ffb,9375cbf1,6fcd6dcb,c2a1cc47,54cd7262,54a003de,62da11e3,14874876,2aa12bfa,f4fc3c5e,be4ee537,a63cedcf,4cdc3efa,d20856aa,d9f758ff,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,d43abaf7,30436bfc,e1be5ef2,day_0
58,116,0,1.0,21.0,,,,0.0,0.0,0,2,0.0,,102759.0,,e9a633f8,3fa554c6,876c1f3e,6521d620,e755064d,919c68e4,b5232ad7,ec70a584,e25a4c11,ff45c308,fa478aa9,84793f60,bf78d0d4,,1db5813f,,,b8170bba,9512c20b,3bdb1d86,cb9dd21d,c744a436,,11a7b9f4,cdc3217e,b757e957,day_0
59,118,0,3.0,532.0,4.0,,,0.0,0.0,1,9,0.0,,61.0,5.0,788a5d5b,0f636fe1,93e42a93,67ecc871,664ff944,6fcd6dcb,2d19a3da,cd5745bc,2e4e821f,16ec16d6,fa478aa9,12716184,00c5ffb7,,1748f7cb,,,6691e292,9512c20b,ef426d46,0683bc6f,6e86ac23,,2fb4a3d0,30436bfc,b757e957,day_0
60,120,0,31.0,,10.0,,,0.0,0.0,51,13,0.0,,1167.0,22.0,ad98e872,95ec7994,b4e4a01c,b0c5e548,5eb3b7e3,6fcd6dcb,59400e1e,47b90fcf,7cee8453,62da11e3,14874876,12716184,405ca118,be4ee537,8526f472,4cdc3efa,d20856aa,b8170bba,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,844d3f4e,30436bfc,e1be5ef2,day_0
61,122,0,,,,0.0,,,0.0,0,0,,,1856.0,,ad98e872,3dbb483e,72110660,1f55e077,052698c1,6fcd6dcb,145ca57c,54cd7262,2e4e821f,62da11e3,14874876,12716184,bf78d0d4,be4ee537,a63cedcf,4cdc3efa,d20856aa,b8170bba,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,07339ee3,ff654802,e1be5ef2,day_0
62,124,0,15.0,1480.0,7.0,,11.0,0.0,0.0,89,0,0.0,2.0,11943.0,7.0,ad98e872,cea68cd3,93e42a93,b0c5e548,301c8d3b,6fcd6dcb,2d19a3da,c0375b13,2e4e821f,62da11e3,14874876,154c2310,f4fc3c5e,be4ee537,fdc9e405,4cdc3efa,d20856aa,b8170bba,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,2fb4a3d0,ff654802,e1be5ef2,day_0
63,126,0,1.0,134.0,,,,,0.0,2,0,,,3638.0,,788a5d5b,0f636fe1,1d2428bc,f2463ffb,1315f676,6fcd6dcb,145739a1,cd5745bc,2e4e821f,16ec16d6,fa478aa9,12716184,e07cc34d,,1748f7cb,,,b8170bba,9512c20b,ef426d46,0683bc6f,6e86ac23,,4a64d9a2,991321ea,b757e957,day_0
64,128,0,1.0,109.0,,,2.0,0.0,0.0,7,11,0.0,1.0,6985.0,,e5f3fd8d,77cf2e67,37775f94,f2463ffb,c6fc10d3,6fcd6dcb,0e005bd7,43426c29,2e4e821f,7de9c0a9,6652dc64,45dc7d3d,bf78d0d4,be4ee537,f3bbfe99,4cdc3efa,d20856aa,69bb317e,9512c20b,febfd863,a3323ca1,c8e1ee56,1752e9e8,893704a5,ff654802,962813c6,day_0
65,130,0,172.0,606.0,8.0,,,0.0,0.0,12,23,0.0,,1719.0,68.0,ad98e872,cea68cd3,417e6103,6521d620,eabb3281,6fcd6dcb,4628641f,c0375b13,2e4e821f,62da11e3,14874876,12716184,f4fc3c5e,be4ee537,fdc9e405,4cdc3efa,d20856aa,b7771e51,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,86c2a370,30436bfc,e1be5ef2,day_0
66,132,0,,1540.0,,,,0.0,0.0,1,2,0.0,,9208.0,,788a5d5b,98e2c109,3cd7902e,d9a8ea57,3389d680,6fcd6dcb,000d2af9,a66a02fa,2e4e821f,16ec16d6,fa478aa9,8a821a6d,405ca118,,ded4997d,,,2b11b772,9512c20b,ef426d46,0683bc6f,6e86ac23,,7cd621f3,30436bfc,b757e957,day_0
67,134,0,,706.0,4.0,,,0.0,0.0,0,4,0.0,,56037.0,4.0,788a5d5b,98e2c109,3cee6ba8,6521d620,ecf95b21,919c68e4,4628641f,a66a02fa,7cee8453,16ec16d6,fa478aa9,0dba260d,a77a4a56,,ded4997d,,,b8170bba,9512c20b,ef426d46,0683bc6f,6e86ac23,,86c2a370,30436bfc,b757e957,day_0
68,136,0,15.0,491.0,14.0,68.0,2.0,0.0,0.0,32,22,0.0,2.0,3173.0,15.0,8d04389f,5f6366e7,5dd65930,f2463ffb,b13d7057,6fcd6dcb,b6debeb3,eff23bd2,54fc547f,d4d2e772,66d09eef,12716184,00c5ffb7,773504ff,20da7a0d,da35bd8b,753da5f3,b8170bba,9512c20b,22c70872,bbd59d61,733b5846,147b7cdc,01b31462,337b81aa,6c730e3e,day_0
69,138,0,584.0,805.0,2.0,,,0.0,0.0,3,6,0.0,,0.0,2.0,dc043fa1,191fa7b7,90d59266,f2463ffb,c6fc10d3,6fcd6dcb,c613116b,b376349d,2e4e821f,5e3d5f8e,b59debeb,8ccbdaad,405ca118,be4ee537,9ad63abb,4cdc3efa,d20856aa,6785af47,9512c20b,1a4a2cfc,c0d5ac53,c1007516,f006b3a7,e8a7e055,30436bfc,2ccea557,day_0
70,140,0,5.0,11.0,0.0,,,0.0,0.0,3,6,0.0,,201.0,1.0,01a58395,968ebd36,ebe452ac,72e99bed,3389d680,6fcd6dcb,d7dfc2d2,bcffe7d7,7cee8453,0bc7a61c,83fd36b9,37d5495e,bf78d0d4,bfd3292f,e660d262,10dd3744,753da5f3,b8170bba,9512c20b,d073a6e3,d3049ad5,9da19436,bf8c0d9d,0652ec16,30436bfc,b757e957,day_0
71,142,0,16.0,106.0,6.0,109.0,1.0,0.0,0.0,2,7,0.0,1.0,10088.0,6.0,,1965a4f0,7e2eba04,34b305cd,48012eba,6fcd6dcb,d8c6a0fa,b69a2b08,dbe3aa6f,,,03927a44,00c5ffb7,be4ee537,9eb57ff0,4cdc3efa,d20856aa,b8170bba,9512c20b,,,,6db7f947,3a86c63e,d0b1afa5,b757e957,day_0
72,144,0,10.0,626.0,4.0,,,0.0,0.0,18,4,0.0,,40.0,4.0,e5f3fd8d,a15d1051,5a17ba0d,313cb7a5,4f59463a,6fcd6dcb,6f822526,43426c29,a48e16ed,7de9c0a9,6652dc64,12716184,bf78d0d4,be4ee537,f3bbfe99,4cdc3efa,d20856aa,b6bc86c5,139221a3,febfd863,a3323ca1,c8e1ee56,1752e9e8,0f434914,991321ea,ed10571d,day_0
73,146,0,19.0,497.0,3.0,577.0,10.0,0.0,0.0,3,0,0.0,2.0,18118.0,4.0,ad98e872,ac4c5591,c2c39af5,386c49ee,38b02748,6fcd6dcb,9f443d6b,73f9dacc,2e4e821f,62da11e3,14874876,35745444,a77a4a56,be4ee537,c76f0d8a,4cdc3efa,d20856aa,b8170bba,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,3d0b8fa3,991321ea,e1be5ef2,day_0
74,148,0,2.0,,2.0,8.0,1.0,0.0,0.0,47,7,0.0,1.0,6217.0,2.0,bb6ba3e1,7a06385f,be767a67,386c49ee,6dad07e3,6fcd6dcb,143ff5a6,670da99c,25dd8f9a,cd23f65b,6a83d7a4,5ce224c5,00c5ffb7,9c6bb170,484a5e08,330c9d3e,1f7fc70b,b8170bba,9512c20b,708fbd40,2015cb1a,4e8c1ac0,d2d92089,da1fcb01,321935cd,2ccea557,day_0
75,150,0,,51.0,,37.0,1.0,2.0,0.0,-1,45,1.0,1.0,761.0,,265366bf,2993bea7,2e276d86,6faef306,1315f676,6fcd6dcb,2dcd28f9,ab96c6b2,7cee8453,e63d98b4,c939136f,2c3af38c,a77a4a56,,5cbc7f6a,,,b8170bba,108a0699,47849e55,73b3f46d,d994ba60,,8c573d44,ff654802,2ba8d787,day_0
76,152,0,32.0,22.0,5.0,,,0.0,0.0,0,0,0.0,,14.0,5.0,ad98e872,cea68cd3,f0bee090,67ecc871,4d2e5b2a,6fcd6dcb,d89e20bc,c0375b13,a48e16ed,62da11e3,14874876,197f00bb,00c5ffb7,be4ee537,fdc9e405,4cdc3efa,d20856aa,7232d217,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,06cd2d54,30436bfc,e1be5ef2,day_0
77,154,0,12.0,12.0,6.0,10.0,15.0,0.0,0.0,10,0,0.0,2.0,8807.0,6.0,ad98e872,ac4c5591,82b1fbde,f2463ffb,7ef41dfa,6fcd6dcb,5c7b2e61,73f9dacc,e25a4c11,62da11e3,14874876,9be5eb0c,bf78d0d4,be4ee537,c76f0d8a,4cdc3efa,d20856aa,d75a120f,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,b70c6aa3,cdc3217e,e1be5ef2,day_0
78,156,0,56.0,1980.0,2.0,45.0,65.0,3.0,0.0,29,0,1.0,17.0,561.0,39.0,ad98e872,fb1e95da,402ba3d8,dbf9128f,c6fc10d3,6fcd6dcb,96c69d37,3f8464ea,7cee8453,62da11e3,14874876,0fe81e8d,26bb0b02,be4ee537,c375920d,4cdc3efa,d20856aa,a1eb1511,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,b165eb6e,30436bfc,e1be5ef2,day_0
79,158,0,7.0,48.0,6.0,11.0,,1.0,0.0,1,14,1.0,,537.0,6.0,7e8c305b,76942e2d,099d5313,79d63b75,f1738f48,6fcd6dcb,eb03e540,fe6db2b6,2e4e821f,247d4083,335657c4,dca601f2,bf78d0d4,,2310b47c,,,a1eb1511,139221a3,6a8cd5fc,d612d4ca,ffdc3266,,236415d5,30436bfc,c78d3e34,day_0
80,160,0,,9.0,3.0,14.0,1.0,0.0,0.0,1,3,0.0,1.0,5633.0,3.0,ae56351f,e0c966c8,86d9afe0,67ecc871,1315f676,6fcd6dcb,b49ab1a5,40fe26b6,2e4e821f,a36b44f9,cda3b7f8,1ddb4b2e,00c5ffb7,,5266ca96,,,a1eb1511,9512c20b,f6894584,1e9044ee,c30a096a,,c0fa7beb,ff654802,2ccea557,day_0
81,162,0,2.0,517.0,,,,0.0,0.0,130,5,0.0,,11278.0,,ad98e872,3dbb483e,b6f8803d,6521d620,1bbea7fa,6fcd6dcb,60b707ed,54cd7262,e25a4c11,62da11e3,14874876,53b03139,bf78d0d4,be4ee537,a63cedcf,4cdc3efa,d20856aa,628f1b8d,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,57e12694,991321ea,e1be5ef2,day_0
82,164,1,6.0,,5.0,5.0,,1.0,0.0,89,5,1.0,,30.0,5.0,4c0d64c3,7a06385f,deb31b18,67ecc871,73467fd0,6fcd6dcb,4c18e187,670da99c,a48e16ed,64e0fc3b,b59debeb,1e9107c8,00c5ffb7,521d9fcb,484a5e08,4cdc3efa,753da5f3,7232d217,9512c20b,cd163e68,ed5ccb32,8f9a330a,dac193c0,fc87a0e3,991321ea,2ccea557,day_0
83,166,0,,103.0,,8.0,,0.0,0.0,6,32,0.0,,7007.0,,4f50727e,649a4df3,fae1720c,f2463ffb,6c0d9fd4,6fcd6dcb,268d7b4d,3aa3d930,2e4e821f,bfcab6f1,fa478aa9,c852d954,405ca118,,2007be23,,,b8170bba,9512c20b,88bd2b10,0683bc6f,167e3434,,4329ebf0,30436bfc,2ccea557,day_0
84,168,0,2.0,169.0,6.0,18.0,,1.0,0.0,1,17,1.0,,731.0,6.0,265366bf,5b6b66b5,409e87fd,b17e4793,c6fc10d3,6fcd6dcb,f0c4ffcb,ab96c6b2,2e4e821f,e63d98b4,c939136f,5985857d,bf78d0d4,,dd7f4897,,,6691e292,108a0699,47849e55,73b3f46d,d994ba60,,287e2796,ff654802,2ba8d787,day_0
85,170,0,3.0,748.0,0.0,,2.0,0.0,0.0,198,7,0.0,1.0,15897.0,3.0,4f50727e,0f636fe1,72913ec2,386c49ee,619516df,6fcd6dcb,28cd5259,cd5745bc,2e4e821f,bfcab6f1,fa478aa9,cef70ea6,a77a4a56,,1748f7cb,,,b8170bba,9512c20b,88bd2b10,0683bc6f,167e3434,,0d29d570,30436bfc,b757e957,day_0
86,172,0,7.0,3.0,,,,0.0,0.0,173,0,0.0,,12938.0,,970fe033,1b2ff61f,01a0c607,f2463ffb,1315f676,6fcd6dcb,a7fad249,670da99c,25dd8f9a,082385ba,cb00e035,12716184,e07cc34d,521d9fcb,484a5e08,330c9d3e,753da5f3,b6bc86c5,9512c20b,04ea3c86,6fdd8783,ad5f5708,0c489a56,16e6b497,0b3c06d0,b757e957,day_0
87,174,0,18.0,453.0,10.0,,5.0,0.0,0.0,5,0,0.0,2.0,19471.0,10.0,ad98e872,cea68cd3,417e6103,f2463ffb,3cd69f23,6fcd6dcb,4628641f,c0375b13,2e4e821f,62da11e3,14874876,cf5302bf,f4fc3c5e,be4ee537,fdc9e405,4cdc3efa,d20856aa,a1eb1511,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,7cc1f2ce,30436bfc,e1be5ef2,day_0
88,176,0,17.0,980.0,17.0,594.0,1.0,0.0,0.0,121,26,0.0,1.0,10447.0,17.0,8412f5ef,41dfb718,98dd6c07,f7f54f97,6ca919cf,6fcd6dcb,a21bbc41,038e402d,54a003de,707089e8,2c821d3b,12716184,00c5ffb7,,ed0e4eec,,,d9f758ff,09c8c22c,bfd1b1d1,97e9a9d9,ade5522d,,e5f9557e,30436bfc,ed10571d,day_0
89,178,0,11.0,387.0,4.0,3.0,16.0,2.0,0.0,1,0,2.0,3.0,40.0,3.0,ad98e872,713af6c7,cc540788,67ecc871,729e35ab,6fcd6dcb,85814171,73f9dacc,e25a4c11,62da11e3,14874876,027144bf,f4fc3c5e,be4ee537,938acfe2,4cdc3efa,d20856aa,a1eb1511,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,a0334609,cdc3217e,fb98c4ed,day_0
90,180,0,3.0,3.0,,,,,,225,0,,,106488.0,,7ed0fc16,11074985,7cf05e8f,f2463ffb,c6fc10d3,919c68e4,76f0b373,09f8a09d,25dd8f9a,b48c1905,571af3f8,6e4b486a,a77a4a56,521d9fcb,2b083b96,4cdc3efa,1f7fc70b,b8170bba,9512c20b,f13eb97b,2e650bb2,1f4a2302,fbd0431c,53f808f4,321935cd,2f33557c,day_0
91,182,0,15.0,189.0,12.0,,2.0,0.0,0.0,4,2,0.0,1.0,3126.0,12.0,ad98e872,cea68cd3,3fcccacd,f2463ffb,5c0a60d8,6fcd6dcb,1dd7694f,c0375b13,2e4e821f,62da11e3,14874876,e786ddbe,bf78d0d4,be4ee537,fdc9e405,4cdc3efa,d20856aa,b8170bba,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,e787d3d7,30436bfc,e1be5ef2,day_0
92,184,0,103.0,269.0,16.0,287.0,10.0,0.0,0.0,7,37,0.0,2.0,8635.0,28.0,b401509b,9a6c1869,f2ee7224,6faef306,1b892b7d,6fcd6dcb,6f822526,17ae60ec,2e4e821f,886a17a3,fa478aa9,12716184,f4fc3c5e,be4ee537,fe7e6ccb,4cdc3efa,d20856aa,b8170bba,55191c09,0e29b5da,0683bc6f,47b99d80,5081baab,0f434914,30436bfc,b757e957,day_0
93,186,0,3.0,371.0,1.0,,,0.0,0.0,4,6,0.0,,87638.0,1.0,b401509b,65a07d43,1d8a002d,9aec7fdb,3cd69f23,919c68e4,b6db430e,75893ae5,2e4e821f,886a17a3,fa478aa9,855ee41c,405ca118,,b9df7508,,,a1eb1511,9512c20b,0e29b5da,0683bc6f,47b99d80,,5dea4c3e,30436bfc,b757e957,day_0
94,188,0,2.0,198.0,,,5.0,,0.0,14,0,,2.0,14427.0,,d4bcd263,ca034076,01a0c607,f2463ffb,c6fc10d3,6fcd6dcb,a7fad249,28808903,2e4e821f,64a24987,30495534,0a7b5d94,a77a4a56,be4ee537,8777820a,4cdc3efa,d20856aa,b8170bba,9512c20b,708f790d,e54fc1bc,ca3fba16,d7c1fc0b,16e6b497,30436bfc,2ccea557,day_0
95,190,0,1.0,203.0,1.0,,,0.0,0.0,82,10,0.0,,10946.0,1.0,bcf52be7,d5e820a0,30307128,67ecc871,729e35ab,6fcd6dcb,e41cc7b1,59903d33,2e4e821f,75edfaef,474a2be5,9df69595,405ca118,dd76031d,d9e5f5ef,83f41762,d20856aa,b8170bba,55191c09,b8417b9e,4dd64982,d52299a5,12bee6a8,3681365f,ff654802,a0614ec9,day_0
96,192,0,2.0,1.0,,1.0,1.0,,0.0,0,2,,1.0,6464.0,,e5f3fd8d,a0aaffa6,34fa17e5,3f85ecae,ec292f74,6fcd6dcb,2a195221,43426c29,7cee8453,7de9c0a9,6652dc64,4b32806d,00c5ffb7,be4ee537,f3bbfe99,4cdc3efa,d20856aa,628f1b8d,9512c20b,febfd863,a3323ca1,c8e1ee56,1752e9e8,b91d098b,ff654802,b757e957,day_0
97,194,0,4.0,153.0,2.0,,3.0,0.0,0.0,1032,47,0.0,2.0,417.0,3.0,ad98e872,8af1edc8,4c64221a,07a6e8f3,38b02748,6fcd6dcb,8ff2a107,32204401,2e4e821f,62da11e3,14874876,57689317,f4fc3c5e,be4ee537,e99db36c,4cdc3efa,d20856aa,7232d217,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,4a301ef0,30436bfc,e1be5ef2,day_0
98,196,0,18.0,753.0,,,,0.0,0.0,409,0,0.0,,70967.0,,ad98e872,ac4c5591,922b9492,b0c5e548,6ca919cf,6fcd6dcb,044765f0,73f9dacc,e25a4c11,62da11e3,14874876,d71e69b8,bf78d0d4,be4ee537,c76f0d8a,4cdc3efa,d20856aa,628f1b8d,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,9e3d6ed1,30436bfc,e1be5ef2,day_0
99,198,0,37.0,41.0,39.0,22.0,,6.0,0.0,7,40,1.0,,4.0,20.0,f7f317e1,b5d59f2a,d1c40cb5,9d24e8e8,c6fc10d3,6fcd6dcb,078ab772,f93773a6,2e4e821f,2273ee3d,a6fcb845,e7ac272d,a77a4a56,be4ee537,ecf69de4,4cdc3efa,d20856aa,b8170bba,9512c20b,c09c8dc4,0dab03ac,f9630b49,45299dd3,72792754,ff654802,ed10571d,day_0
